难度: 100, 猜测: 111, 结果: 难度: 100, 猜测: 33, 结果: 难度: 100, 猜测: 22, 结果: 难度: 100, 猜测: 11, 结果: 难度: 100, 猜测: 14, 结果: 猜测: 212, 结果: 大了, 猜测次数: 1
猜测: 12, 结果: 小了, 猜测次数: 2
猜测: 11, 结果: 小了, 猜测次数: 3
猜测: 56, 结果: 大了, 猜测次数: 4
猜测: 33, 结果: 大了, 猜测次数: 5
猜测: 12, 结果: 小了, 猜测次数: 6
猜测: 22, 结果: 大了, 猜测次数: 7
猜测: 18, 结果: 大了, 猜测次数: 8
猜测: 15, 结果: 小了, 猜测次数: 9
猜测: 17, 结果: 大了, 猜测次数: 10
猜测: 16, 结果: 对了, 猜测次数: 11
猜测: 12, 结果: 小了, 猜测次数: 1
猜测: 44, 结果: 小了, 猜测次数: 2
猜测: 66, 结果: 大了, 猜测次数: 3
猜测: 55, 结果: 大了, 猜测次数: 4
猜测: 44, 结果: 小了, 猜测次数: 5
猜测: 48, 结果: 小了, 猜测次数: 6
猜测: 50, 结果: 小了, 猜测次数: 7
猜测: 54, 结果: 大了, 猜测次数: 8
猜测: 53, 结果: 对了, 猜测次数: 9
猜测: 13, 结果: 小了, 猜测次数: 1
猜测: 55, 结果: 大了, 猜测次数: 2
猜测: 44, 结果: 大了, 猜测次数: 3
猜测: 33, 结果: 大了, 猜测次数: 4
猜测: 22, 结果: 大了, 猜测次数: 5
猜测: 17, 结果: 大了, 猜测次数: 6
猜测: 14, 结果: 小了, 猜测次数: 7
猜测: 15, 结果: 小了, 猜测次数: 8
